id,extroversion,neurotic,agreeable,conscientious,open,TimeSpent
820957,3.0,3.0,2.4,3.0,4.4,2.06
83892,1.4,3.0,2.6,3.4,3.2,3.21
662351,2.0,2.4,2.6,2.2,4.2,1.67
445523,2.2,3.8,3.6,3.4,4.0,1.96
37318,2.4,3.4,2.4,3.2,3.6,4.18
639821,3.8,2.8,3.0,2.6,4.0,2.3
310359,2.0,3.0,2.4,4.0,3.2,3.17
518135,2.2,3.2,3.2,2.2,3.0,1.76
555266,3.0,2.6,3.8,1.6,3.2,2.04
704434,2.8,3.2,2.4,3.2,3.8,2.84
961334,3.4,3.0,3.4,3.6,3.4,1.54
941249,2.6,3.4,2.6,3.6,3.0,2.99
227780,1.6,3.0,2.4,1.2,4.2,2.07
600757,4.2,3.0,2.0,2.8,3.6,2.29
459509,2.8,2.4,3.0,3.8,3.8,4.33
252067,2.4,4.0,1.8,3.4,4.0,1.92
1004855,4.0,3.6,2.6,3.4,3.8,1.38
374854,3.4,3.6,2.4,2.4,4.4,2.06
291572,3.4,3.4,2.8,3.6,4.4,1.74
25454,1.0,3.4,2.4,1.4,3.6,2.41
686797,3.0,3.4,1.8,4.8,4.6,1.42
187474,2.2,2.6,2.4,4.0,4.2,1.5
398268,3.2,3.2,2.6,3.2,4.2,1.11
968693,5.0,3.8,2.6,3.0,3.0,1.29
788140,2.6,3.2,2.2,5.0,4.0,0.99
156238,4.6,3.0,2.6,2.0,3.6,2.13
483294,1.8,3.0,2.6,3.0,3.2,4.39
657906,5.0,3.2,2.2,3.4,4.2,2.81
173960,4.0,4.0,2.8,3.8,3.8,2.82
612909,4.4,3.6,3.4,3.6,3.4,2.88
650259,3.4,3.2,2.6,2.4,3.0,2.07
809321,3.6,3.6,2.2,2.0,4.4,0.95
975358,3.0,4.2,2.2,2.2,4.2,1.84
620675,1.0,3.0,2.8,4.2,3.0,1.09
75571,3.4,2.6,3.4,3.4,3.8,1.52
299737,1.0,2.4,2.4,2.4,4.2,2.01
706790,1.2,2.8,2.0,3.8,4.2,1.07
628778,2.8,2.4,2.2,1.2,4.8,1.45
421455,4.2,3.4,2.8,2.2,4.6,1.71
76608,1.2,2.8,3.0,2.2,3.4,1.72
350472,1.0,3.2,2.2,3.6,4.0,1.28
245928,3.8,3.0,2.4,2.6,3.8,1.52
818293,1.6,3.2,1.8,2.4,4.4,1.56
682043,2.0,3.2,2.8,4.6,2.8,2.48
434211,3.4,3.0,3.4,3.0,3.6,1.58
403488,1.8,3.2,2.4,4.8,3.4,1.95
176099,3.4,2.6,2.2,2.2,3.8,3.16
887897,1.4,3.6,1.8,2.8,4.0,1.26
39613,4.2,3.4,3.4,2.6,3.4,1.61
250444,1.0,2.6,2.0,4.4,4.2,1.53
