learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
7500.0,0.141578,6.47553511791759E-11,7500.0,1.0,0.0,0.8388463220807617,1.0,1604.0,1.0,3.4,7500.0,1768.0
7600.0,0.143177,6.548670637938711E-11,7600.0,2.0,0.0,0.8388686714263106,1.0,1604.0,1.0,2.2,7600.0,1768.0
7700.0,0.144811,6.62340699798531E-11,7700.0,2.0,0.0,0.8396397365163718,1.0,1604.0,1.0,2.2,7700.0,1768.0
7800.0,0.14631,6.691968689362207E-11,7800.0,2.0,0.0,0.8392232843618396,1.0,1604.0,1.0,3.2,7800.0,1768.0
7900.0,0.147769,6.758700849281416E-11,7900.0,2.0,0.0,0.8382295508871644,1.0,1604.0,1.0,2.8,7900.0,1768.0
8000.0,0.149184,6.823420524597168E-11,8000.0,2.0,0.0,0.8381002174014454,1.0,1604.0,1.0,2.6,8000.0,1768.0
8100.0,0.15033,6.875836600859959E-11,8100.0,2.0,0.0,0.836680203747032,1.0,1604.0,1.0,2.8,8100.0,1768.0
8200.0,0.15118,6.914714144335852E-11,8200.0,2.0,0.0,0.8367557455704997,1.0,1604.0,1.0,2.4,8200.0,1768.0
8300.0,0.152027,6.953454472952418E-11,8300.0,2.0,0.0,0.8375154882930701,1.0,1604.0,1.0,2.2,8300.0,1768.0
8400.0,0.152895,6.99315530558427E-11,8400.0,2.0,0.0,0.8379916109124846,1.0,1604.0,1.0,2.6,8400.0,1768.0
8500.0,0.153792,7.034182548522947E-11,8500.0,2.0,0.0,0.8384890910747267,1.0,1604.0,1.0,2.2,8500.0,1768.0
8600.0,0.154728,7.076993584632872E-11,8600.0,2.0,0.0,0.8384005068460872,1.0,1604.0,1.0,2.6,8600.0,1768.0
8700.0,0.156163,7.142628025677468E-11,8700.0,2.0,0.0,0.8379908398229704,1.0,1604.0,1.0,3.2,8700.0,1768.0
8800.0,0.15757,7.206981794701681E-11,8800.0,2.0,0.0,0.838072693503102,1.0,1604.0,1.0,2.2,8800.0,1768.0
8900.0,0.158963,7.270695227715702E-11,8900.0,2.0,0.0,0.8373735740193378,1.0,1604.0,1.0,2.8,8900.0,1768.0
9000.0,0.16041,7.336878528197604E-11,9000.0,2.0,0.0,0.8371468837153369,1.0,1604.0,1.0,2.6,9000.0,1768.0
9100.0,0.16179,7.399997363487877E-11,9100.0,2.0,0.0,0.8369156628901602,1.0,1604.0,1.0,2.0,9100.0,1768.0
9200.0,0.163173,7.463253413637477E-11,9200.0,2.0,0.0,0.8373166868462002,1.0,1604.0,1.0,2.6,9200.0,1768.0
9300.0,0.164584,7.527790135807459E-11,9300.0,2.0,0.0,0.8365406610987725,1.0,1604.0,1.0,2.6,9300.0,1768.0
9400.0,0.16601,7.593012932274074E-11,9400.0,2.0,0.0,0.8356969516629533,1.0,1604.0,1.0,2.4,9400.0,1768.0
9500.0,0.167372,7.655308478408388E-11,9500.0,2.0,0.0,0.8361180455789085,1.0,1604.0,1.0,3.8,9500.0,1768.0
9600.0,0.168748,7.718244360552891E-11,9600.0,2.0,0.0,0.835295475242342,1.0,1604.0,1.0,3.0,9600.0,1768.0
9700.0,0.170175,7.783512895305949E-11,9700.0,2.0,0.0,0.8350933992849764,1.0,1604.0,1.0,2.6,9700.0,1768.0
9800.0,0.171593,7.848369785481027E-11,9800.0,2.0,0.0,0.8356754535263258,1.0,1604.0,1.0,3.0,9800.0,1768.0
9900.0,0.173029,7.914049964812065E-11,9900.0,2.0,0.0,0.8351343658288015,1.0,1604.0,1.0,2.2,9900.0,1768.0
10000.0,0.174459,7.97945571442445E-11,10000.0,2.0,0.0,0.8351586142563616,1.0,1604.0,1.0,3.0,10000.0,1768.0
10100.0,0.175938,8.047102640072503E-11,10100.0,2.0,0.0,0.8347836468865008,1.0,1604.0,1.0,2.0,10100.0,1768.0
10200.0,0.17735,8.111685100528928E-11,10200.0,2.0,0.0,0.8343362228707079,1.0,1604.0,1.0,2.6,10200.0,1768.0
10300.0,0.178664,8.171785208914014E-11,10300.0,2.0,0.0,0.8340890385407015,1.0,1604.0,1.0,2.8,10300.0,1768.0
10400.0,0.17988,8.227402965227762E-11,10400.0,2.0,0.0,0.8337384769754107,1.0,1604.0,1.0,3.0,10400.0,1768.0
10500.0,0.180763,8.267789872156249E-11,10500.0,2.0,0.0,0.8338280022632861,1.0,1604.0,1.0,2.6,10500.0,1768.0
10600.0,0.181626,8.307262013355891E-11,10600.0,2.0,0.0,0.8344870786214568,1.0,1604.0,1.0,1.8,10600.0,1768.0
10700.0,0.182419,8.343532474504577E-11,10700.0,2.0,0.0,0.8344182755185386,1.0,1604.0,1.0,3.6,10700.0,1768.0
10800.0,0.183176,8.378156357341342E-11,10800.0,2.0,0.0,0.8343920675436867,1.0,1604.0,1.0,4.0,10800.0,1768.0
10900.0,0.183953,8.413695005906953E-11,10900.0,2.0,0.0,0.8334119712728361,1.0,1604.0,1.0,2.8,10900.0,1768.0
11000.0,0.184786,8.451794998513328E-11,11000.0,2.0,0.0,0.8327857215247059,1.0,1604.0,1.0,1.8,11000.0,1768.0
11100.0,0.18567,8.492227643728257E-11,11100.0,2.0,0.0,0.8328662818273994,1.0,1604.0,1.0,3.0,11100.0,1768.0
11200.0,0.186443,8.527583339148098E-11,11200.0,3.0,0.0,0.83365362008323,1.0,1604.0,1.0,1.8,11200.0,1768.0
11300.0,0.187149,8.55987456937631E-11,11300.0,3.0,0.0,0.8355847544516554,1.0,1604.0,1.0,2.2,11300.0,1768.0
11400.0,0.187851,8.591982846458753E-11,11400.0,3.0,0.0,0.8351198308571183,1.0,1604.0,1.0,3.0,11400.0,1768.0
11500.0,0.188569,8.624822936124272E-11,11500.0,3.0,0.0,0.8345938052261541,1.0,1604.0,1.0,2.8,11500.0,1768.0
11600.0,0.189302,8.658349100086424E-11,11600.0,3.0,0.0,0.8343844006009856,1.0,1604.0,1.0,3.4,11600.0,1768.0
11700.0,0.190002,8.690365900595983E-11,11700.0,3.0,0.0,0.8340678042717825,1.0,1604.0,1.0,2.8,11700.0,1768.0
11800.0,0.190732,8.723754849698808E-11,11800.0,3.0,0.0,0.8339617797242573,1.0,1604.0,1.0,2.2,11800.0,1768.0
11900.0,0.191455,8.756823630796538E-11,11900.0,3.0,0.0,0.8342122561545984,1.0,1604.0,1.0,2.4,11900.0,1768.0
12000.0,0.192154,8.788794693019655E-11,12000.0,3.0,0.0,0.8342572324543606,1.0,1604.0,1.0,2.4,12000.0,1768.0
12100.0,0.19285,8.820628540383444E-11,12100.0,4.0,0.0,0.834337314559885,1.0,1604.0,1.0,2.0,12100.0,1768.0
12200.0,0.193565,8.853331415189637E-11,12200.0,4.0,0.0,0.8333372402637955,1.0,1604.0,1.0,2.6,12200.0,1768.0
12300.0,0.194264,8.885302477412753E-11,12300.0,4.0,0.0,0.8329872018794512,1.0,1604.0,1.0,1.8,12300.0,1768.0
12400.0,0.19505,8.921252770556344E-11,12400.0,4.0,0.0,0.8327232795800407,1.0,1604.0,1.0,3.4,12400.0,1768.0
12500.0,0.195752,8.953361047638787E-11,12500.0,4.0,0.0,0.8330247120616461,1.0,1604.0,1.0,2.6,12500.0,1768.0
